,reviews
0,I have stayed at many boutique hotels in Europe and the Americas and the Gansevoort is the hotel where I have racked up the most nights (maybe 75-100) anywhere. It is simply the best located hotel in the best area of one if the top...More
1,"We were five family member, and we had a month in the city. So, we chose Gansevoort Meatpacking for the amazing location, spacious rooms and definitely the very helpful staff. It wasn’t my first time there, and every time I come, I get the same...More"
2,"If you are looking for an experience that will keep you coming back over and over...THIS IS IT!  Everything was sooooo perfect from check in to check out!  We LOVED the ambiance, the HUGE-for-NYC room, the attention to detail and lighting and just the entire...More"
3,"I had a phenomenal experience at Gansevoort Meatpacking. 

I was in New York on business and was unfamiliar with the Meatpacking District. When I arrived at Gansevoort, I was greeted cheerfully and warmly welcomed by Malick. I had an early morning flight and was exhausted...More"
4,"We stayed 2 nights at the Gansevoort.   The location is excellent.  The staff in the hotel is very friendly.  We had afternoon drinks at the rooftop bar.  It is a comfortable space with excellent views, but the staff seemed to be bothered by us.   Our...More"
5,"i've recently left new york after living here for 6 years and will always have fond memories of the meatpacking district. The gansevoort is among 3 of my favorite hotels in the area, as well as the city. The staff - particularly Yulia, at the...More"
6,"Big thank you to Malick on reception - made us feel extremely welcome. A warm and genuine guy he showed us round the hotel, checked us in early and helped us throughout. All the staff were friendly and it really made our stay. Thanks guys."
7,"Malik welcomes us with a kind, warm and genuine greeting. Our stay for one night was incredibly fun with drinks on the rooftop followed by a morning swim overlooking the city. The Gansevoort is trendy, cool & in the best neighbourhood. Huge thanks to Malik,...More"
8,"We love New York for everything it is. The smells, the sights, the pace, the lights, the food, shopping, all the amazing bars. We even love the direct, sometime in your face nature of the people. New York is our favorite city, second only to...More"
9,"Made the mistake of staying here for a one night business trip. This hotel is about a 3/5. I am currently in my room, and hear construction and other noise outside. Came back to my room after a long day of traveling since 4am and...More"
10,Really happy with my choice to stay here. The rooms are a good size- especially for NYC- and the bathrooms are very nice. The pool was perfect in the afternoons and thankfully only open to guests. Becomes a bit of a scene at the rooftop...More
11,"Very disappointed as I thought this hotel was in line with other 5 star Gansevoort hotels. Not to be rude but I wouldn’t give the hotel more than 3. 
Hallways hard to see in, very dark with no ventilation or air conditioning. Gym is very...More"
12,What we liked: the location was great and central - close walk to the 14th Street subway station and the village. The rooftop pool was also lovely - it had great views of the freedom tower. Customer service was excellent - we even got an...More
13,"Loved the location in the heart of the Meatpacking district.  Hip hotel with a pool table and restaurant in the lobby.  The roof deck provides a great view.  I didn’t get a chance to use the roof deck pool, but I will next time!  The...More"
14,"I was at the hotel last weekend.  I was lucky enough to to meet Klawson at the front desk.  Klawson was professional, knowledgeable and friendly.  Our stay was terrific.  Great stay start with the front desk.  Thank you Klawson!"
15,"This hotel is located in the meatpacking zone, which is one of the most trendy of NYC, close to Chelsea market.
Booked room is large enough , very clean and there is an espresso machine free.
Amusing is the rooftop bar, where You can see...More"
16,"I stay here frequently for business.  Personally it's too loud for my taste, but it's close to my office,  so I like the convenience. Tonight I had a great experience with Lauren at the front desk that was so good bragged about it online. Here's...More"
17,The hotel is a dream--simply a dream (but read on to the end). It is in the coolest part of Chelsea and the reception staff were just amazing. And the pool... OMG--on a hot NYC day just what the doctor ordered. So why not 5...More
18,"Special Thanks to Lauren from the frontdesk, who delivered a wonderful bottle of Prosecco to give an extra dimension to our 25th anniversary of marriage. We and our kids have a wonderful stay at your hotel. We felt at home.
Please accept our warmest feelings...More"
19,Can’t say enough about this spot. 2nd visit and will be back for a third.  Check in staff were so kind and fast.  Room was very clean.  Rooftop pool was great.  Location is perfect.  Can’t wait to return in the fall
20,I stayed here on one of my many trips to NYC. Even though there was a lot of construction going on outside the hotel they did  a great job getting you in and out. The dining areas of the hotel were good. The spa was...More
